Kabupaten;Mean_DIST_KM
Asahan;142.09
Batu Bara;157.89
Dairi;144.87
Danau Toba;117.87
Deli Serdang;163.50
Humbang Hasundutan;124.85
Karo;154.61
Kota Binjai;177.34
Kota Gunungsitoli;210.95
Kota Medan;172.09
Kota Padangsidimpuan;157.42
Kota Pematang Siantar;130.24
Kota Sibolga;135.15
Kota Tanjung Balai;162.54
Kota Tebing Tinggi;152.38
Labuhan Batu;169.99
Labuhan Batu Selatan;184.05
Labuhan Batu Utara;147.13
Langkat;197.90
Mandailing Natal;208.93
Nias;212.92
Nias Barat;229.93
Nias Selatan;232.21
Nias Utara;225.93
Padang Lawas;199.64
Padang Lawas Utara;167.03
Pakpak Bharat;140.36
Samosir;119.63
Serdang Bedagai;152.52
Simalungun;123.20
Tapanuli Selatan;156.01
Tapanuli Tengah;130.54
Tapanuli Utara;125.52
Toba Samosir;122.96
Grand Total;163.24
